repeat,fold,model,stage,search_strategy,threshold,best_inner_score,best_params,mcc,balanced_accuracy,f1,recall,specificity,precision,tn,fp,fn,tp,roc_auc,pr_auc
1,1,lr_elasticnet,default_repeated_cv,none,0.5,,{},0.7130912633061056,0.8553511705685619,0.8444444444444444,0.8260869565217391,0.8846153846153846,0.8636363636363636,23,3,4,19,0.9230769230769231,0.921255824805808
1,1,gnb,default_repeated_cv,none,0.5,,{},0.5060364359351283,0.7115384615384616,0.7540983606557377,1.0,0.4230769230769231,0.6052631578947368,11,15,0,23,0.9331103678929766,0.9306614677926867
1,1,lda,default_repeated_cv,none,0.5,,{},0.6722408026755853,0.8361204013377926,0.8260869565217391,0.8260869565217391,0.8461538461538461,0.8260869565217391,22,4,4,19,0.9230769230769231,0.9244588915759329
1,1,rf,default_repeated_cv,none,0.5,,{},0.7145252027247703,0.8578595317725752,0.851063829787234,0.8695652173913043,0.8461538461538461,0.8333333333333334,22,4,3,20,0.9322742474916388,0.9261753783008764
1,1,lightgbm,default_repeated_cv,none,0.5,,{},0.5903010033444817,0.7951505016722409,0.782608695652174,0.782608695652174,0.8076923076923077,0.782608695652174,21,5,5,18,0.8595317725752508,0.86860514362204
1,1,xgboost,default_repeated_cv,none,0.5,,{},0.5903010033444817,0.7951505016722409,0.782608695652174,0.782608695652174,0.8076923076923077,0.782608695652174,21,5,5,18,0.8846153846153846,0.8997310093318482
1,1,catboost,default_repeated_cv,none,0.5,,{},0.6387959866220736,0.8193979933110368,0.8163265306122449,0.8695652173913043,0.7692307692307693,0.7692307692307693,20,6,3,20,0.923076923076923,0.924077915736477
1,2,lr_elasticnet,default_repeated_cv,none,0.5,,{},0.7358286826886946,0.8409090909090908,0.8108108108108109,0.6818181818181818,1.0,1.0,27,0,7,15,0.9292929292929294,0.9399849181825926
1,2,gnb,default_repeated_cv,none,0.5,,{},0.38152440534867665,0.6868686868686869,0.6923076923076923,0.8181818181818182,0.5555555555555556,0.6,15,12,4,18,0.8232323232323233,0.7488052135005414
1,2,lda,default_repeated_cv,none,0.5,,{},0.7212588986562797,0.8451178451178452,0.8205128205128205,0.7272727272727273,0.9629629629629629,0.9411764705882353,26,1,6,16,0.9175084175084176,0.9258116329650238
1,2,rf,default_repeated_cv,none,0.5,,{},0.6838936797839589,0.8223905723905723,0.7894736842105263,0.6818181818181818,0.9629629629629629,0.9375,26,1,7,15,0.8737373737373737,0.8934944471061071
1,2,lightgbm,default_repeated_cv,none,0.5,,{},0.5488604301969738,0.7626262626262625,0.717948717948718,0.6363636363636364,0.8888888888888888,0.8235294117647058,24,3,8,14,0.8417508417508418,0.8588597000825261
1,2,xgboost,default_repeated_cv,none,0.5,,{},0.5860723375660168,0.7895622895622896,0.7619047619047619,0.7272727272727273,0.8518518518518519,0.8,23,4,6,16,0.8535353535353535,0.8694171174084232
1,2,catboost,default_repeated_cv,none,0.5,,{},0.6350596644266268,0.8038720538720538,0.7692307692307693,0.6818181818181818,0.9259259259259259,0.8823529411764706,25,2,7,15,0.8619528619528619,0.8794672497424951
1,3,lr_elasticnet,default_repeated_cv,none,0.5,,{},0.708939636514663,0.8479020979020979,0.8292682926829268,0.7727272727272727,0.9230769230769231,0.8947368421052632,24,2,5,17,0.8933566433566433,0.8848623085759241
1,3,gnb,default_repeated_cv,none,0.5,,{},0.708939636514663,0.8479020979020979,0.8292682926829268,0.7727272727272727,0.9230769230769231,0.8947368421052632,24,2,5,17,0.8933566433566433,0.8840435269676689
1,3,lda,default_repeated_cv,none,0.5,,{},0.6693419514856722,0.8251748251748252,0.8,0.7272727272727273,0.9230769230769231,0.8888888888888888,24,2,6,16,0.8776223776223777,0.8807616353312924
1,3,rf,default_repeated_cv,none,0.5,,{},0.5829752480681661,0.7832167832167831,0.75,0.6818181818181818,0.8846153846153846,0.8333333333333334,23,3,7,15,0.8688811188811189,0.8816387388347136
1,3,lightgbm,default_repeated_cv,none,0.5,,{},0.6216038822203304,0.8094405594405594,0.7906976744186046,0.7727272727272727,0.8461538461538461,0.8095238095238095,22,4,5,17,0.8409090909090909,0.8574837542488726
1,3,xgboost,default_repeated_cv,none,0.5,,{},0.4181210050035454,0.7097902097902098,0.6956521739130435,0.7272727272727273,0.6923076923076923,0.6666666666666666,18,8,6,16,0.8444055944055944,0.8749587109578666
1,3,catboost,default_repeated_cv,none,0.5,,{},0.5379391211744428,0.763986013986014,0.7317073170731707,0.6818181818181818,0.8461538461538461,0.7894736842105263,22,4,7,15,0.8583916083916084,0.8693216302816618
1,4,lr_elasticnet,default_repeated_cv,none,0.5,,{},0.6242392755610096,0.8129370629370629,0.8,0.8181818181818182,0.8076923076923077,0.782608695652174,21,5,4,18,0.9073426573426573,0.8893283980420135
1,4,gnb,default_repeated_cv,none,0.5,,{},0.4345240946267408,0.6888111888111889,0.7241379310344828,0.9545454545454546,0.4230769230769231,0.5833333333333334,11,15,1,21,0.8618881118881119,0.8226209057382424
1,4,lda,default_repeated_cv,none,0.5,,{},0.6643356643356644,0.8321678321678322,0.8181818181818182,0.8181818181818182,0.8461538461538461,0.8181818181818182,22,4,4,18,0.8846153846153846,0.8628687616692756
1,4,rf,default_repeated_cv,none,0.5,,{},0.5804195804195804,0.7902097902097902,0.7727272727272727,0.7727272727272727,0.8076923076923077,0.7727272727272727,21,5,5,17,0.8898601398601399,0.8475951956006067
1,4,lightgbm,default_repeated_cv,none,0.5,,{},0.5853694070049635,0.7937062937062938,0.782608695652174,0.8181818181818182,0.7692307692307693,0.75,20,6,4,18,0.8968531468531469,0.8730858168070444
1,4,xgboost,default_repeated_cv,none,0.5,,{},0.5104895104895105,0.7552447552447552,0.75,0.8181818181818182,0.6923076923076923,0.6923076923076923,18,8,4,18,0.8951048951048951,0.8779554315861662
1,4,catboost,default_repeated_cv,none,0.5,,{},0.5475171299613324,0.7744755244755245,0.7659574468085106,0.8181818181818182,0.7307692307692307,0.72,19,7,4,18,0.8916083916083917,0.8705494928246809
1,5,lr_elasticnet,default_repeated_cv,none,0.5,,{},0.6643482831758064,0.8286713286713286,0.8095238095238095,0.7727272727272727,0.8846153846153846,0.85,23,3,5,17,0.8916083916083916,0.8802672408266143
1,5,gnb,default_repeated_cv,none,0.5,,{},0.47304991679126607,0.7237762237762237,0.7407407407407407,0.9090909090909091,0.5384615384615384,0.625,14,12,2,20,0.8374125874125874,0.794135662990783
1,5,lda,default_repeated_cv,none,0.5,,{},0.7058891543857989,0.8513986013986015,0.8372093023255814,0.8181818181818182,0.8846153846153846,0.8571428571428571,23,3,4,18,0.8828671328671329,0.8669770692978065
1,5,rf,default_repeated_cv,none,0.5,,{},0.6643356643356644,0.8321678321678322,0.8181818181818182,0.8181818181818182,0.8461538461538461,0.8181818181818182,22,4,4,18,0.8662587412587412,0.8704703618832769
1,5,lightgbm,default_repeated_cv,none,0.5,,{},0.36693860583422255,0.6800699300699301,0.6341463414634146,0.5909090909090909,0.7692307692307693,0.6842105263157895,20,6,9,13,0.8216783216783217,0.8024417403237479
1,5,xgboost,default_repeated_cv,none,0.5,,{},0.5379391211744428,0.763986013986014,0.7317073170731707,0.6818181818181818,0.8461538461538461,0.7894736842105263,22,4,7,15,0.8339160839160839,0.8171669968068442
1,5,catboost,default_repeated_cv,none,0.5,,{},0.6216038822203304,0.8094405594405594,0.7906976744186046,0.7727272727272727,0.8461538461538461,0.8095238095238095,22,4,5,17,0.868881118881119,0.856784157774518
2,1,lr_elasticnet,default_repeated_cv,none,0.5,,{},0.8381410922535469,0.9155518394648829,0.9090909090909091,0.8695652173913043,0.9615384615384616,0.9523809523809523,25,1,3,20,0.9297658862876254,0.9481407656666776
2,1,gnb,default_repeated_cv,none,0.5,,{},0.5677055366699036,0.7667224080267558,0.7857142857142857,0.9565217391304348,0.5769230769230769,0.6666666666666666,15,11,1,22,0.9113712374581939,0.9157618200473967
2,1,lda,default_repeated_cv,none,0.5,,{},0.8381410922535469,0.9155518394648829,0.9090909090909091,0.8695652173913043,0.9615384615384616,0.9523809523809523,25,1,3,20,0.9297658862876254,0.9457645187252132
2,1,rf,default_repeated_cv,none,0.5,,{},0.7953064913108095,0.8963210702341138,0.8888888888888888,0.8695652173913043,0.9230769230769231,0.9090909090909091,24,2,3,20,0.9372909698996655,0.9422215323185201
2,1,lightgbm,default_repeated_cv,none,0.5,,{},0.6333506827204834,0.8118729096989966,0.7906976744186046,0.7391304347826086,0.8846153846153846,0.85,23,3,6,17,0.919732441471572,0.9196437141508808
2,1,xgboost,default_repeated_cv,none,0.5,,{},0.754180602006689,0.8770903010033444,0.8695652173913043,0.8695652173913043,0.8846153846153846,0.8695652173913043,23,3,3,20,0.9080267558528428,0.9161223724419141
2,1,catboost,default_repeated_cv,none,0.5,,{},0.7963283217283071,0.8988294314381271,0.8936170212765957,0.9130434782608695,0.8846153846153846,0.875,23,3,2,21,0.9280936454849499,0.935925320018624
2,2,lr_elasticnet,default_repeated_cv,none,0.5,,{},0.5050505050505051,0.7525252525252526,0.7272727272727273,0.7272727272727273,0.7777777777777778,0.7272727272727273,21,6,6,16,0.8956228956228957,0.894434101171633
2,2,gnb,default_repeated_cv,none,0.5,,{},0.5105379255198104,0.7365319865319866,0.75,0.9545454545454546,0.5185185185185185,0.6176470588235294,14,13,1,21,0.8737373737373737,0.8272169538237192
2,2,lda,default_repeated_cv,none,0.5,,{},0.5448462751310045,0.771043771043771,0.7441860465116279,0.7272727272727273,0.8148148148148148,0.7619047619047619,22,5,6,16,0.8973063973063973,0.8928773751931156
2,2,rf,default_repeated_cv,none,0.5,,{},0.5875420875420876,0.7937710437710437,0.7727272727272727,0.7727272727272727,0.8148148148148148,0.7727272727272727,22,5,5,17,0.8905723905723906,0.8858492212981375
2,2,lightgbm,default_repeated_cv,none,0.5,,{},0.5888292511776803,0.7853535353535352,0.75,0.6818181818181818,0.8888888888888888,0.8333333333333334,24,3,7,15,0.8686868686868688,0.8600739867052032
2,2,xgboost,default_repeated_cv,none,0.5,,{},0.5448462751310045,0.771043771043771,0.7441860465116279,0.7272727272727273,0.8148148148148148,0.7619047619047619,22,5,6,16,0.82996632996633,0.8444802058618955
2,2,catboost,default_repeated_cv,none,0.5,,{},0.5486608072966978,0.7752525252525253,0.7555555555555555,0.7727272727272727,0.7777777777777778,0.7391304347826086,21,6,5,17,0.8872053872053872,0.8904970944651471
2,3,lr_elasticnet,default_repeated_cv,none,0.5,,{},0.6234393788445528,0.8059440559440559,0.7804878048780488,0.7272727272727273,0.8846153846153846,0.8421052631578947,23,3,6,16,0.8618881118881119,0.8540402458970843
2,3,gnb,default_repeated_cv,none,0.5,,{},0.5829752480681661,0.7832167832167831,0.75,0.6818181818181818,0.8846153846153846,0.8333333333333334,23,3,7,15,0.8479020979020979,0.8513450228226662
2,3,lda,default_repeated_cv,none,0.5,,{},0.6234393788445528,0.8059440559440559,0.7804878048780488,0.7272727272727273,0.8846153846153846,0.8421052631578947,23,3,6,16,0.8374125874125875,0.8350216452729332
2,3,rf,default_repeated_cv,none,0.5,,{},0.49660854465066,0.7412587412587412,0.7,0.6363636363636364,0.8461538461538461,0.7777777777777778,22,4,8,14,0.8688811188811189,0.8577670033765848
2,3,lightgbm,default_repeated_cv,none,0.5,,{},0.4947274449181537,0.7447552447552448,0.7142857142857143,0.6818181818181818,0.8076923076923077,0.75,21,5,7,15,0.8094405594405595,0.7651994982621916
2,3,xgboost,default_repeated_cv,none,0.5,,{},0.4530333378893933,0.7255244755244755,0.6976744186046512,0.6818181818181818,0.7692307692307693,0.7142857142857143,20,6,7,15,0.8496503496503496,0.8156647063428588
2,3,catboost,default_repeated_cv,none,0.5,,{},0.49660854465066,0.7412587412587412,0.7,0.6363636363636364,0.8461538461538461,0.7777777777777778,22,4,8,14,0.8513986013986015,0.8420016111045046
2,4,lr_elasticnet,default_repeated_cv,none,0.5,,{},0.7901744265512675,0.8933566433566433,0.8837209302325582,0.8636363636363636,0.9230769230769231,0.9047619047619048,24,2,3,19,0.9545454545454546,0.9517194186784861
2,4,gnb,default_repeated_cv,none,0.5,,{},0.5310850045437944,0.7307692307692308,0.7586206896551724,1.0,0.46153846153846156,0.6111111111111112,12,14,0,22,0.9423076923076923,0.919590421551365
2,4,lda,default_repeated_cv,none,0.5,,{},0.7058891543857989,0.8513986013986015,0.8372093023255814,0.8181818181818182,0.8846153846153846,0.8571428571428571,23,3,4,18,0.9597902097902098,0.9579459821258252
2,4,rf,default_repeated_cv,none,0.5,,{},0.57953786404698,0.7867132867132867,0.7619047619047619,0.7272727272727273,0.8461538461538461,0.8,22,4,6,16,0.9265734265734266,0.9260927568915536
2,4,lightgbm,default_repeated_cv,none,0.5,,{},0.7058891543857989,0.8513986013986015,0.8372093023255814,0.8181818181818182,0.8846153846153846,0.8571428571428571,23,3,4,18,0.8688811188811189,0.873743933969481
2,4,xgboost,default_repeated_cv,none,0.5,,{},0.5804195804195804,0.7902097902097902,0.7727272727272727,0.7727272727272727,0.8076923076923077,0.7727272727272727,21,5,5,17,0.8776223776223776,0.8751538981803595
2,4,catboost,default_repeated_cv,none,0.5,,{},0.6643356643356644,0.8321678321678322,0.8181818181818182,0.8181818181818182,0.8461538461538461,0.8181818181818182,22,4,4,18,0.9143356643356644,0.9206951620361062
2,5,lr_elasticnet,default_repeated_cv,none,0.5,,{},0.41024184123315394,0.6993006993006994,0.65,0.5909090909090909,0.8076923076923077,0.7222222222222222,21,5,9,13,0.8111888111888111,0.7672404400089822
2,5,gnb,default_repeated_cv,none,0.5,,{},0.25934535414107224,0.6206293706293706,0.6545454545454545,0.8181818181818182,0.4230769230769231,0.5454545454545454,11,15,4,18,0.791958041958042,0.7792303270891787
2,5,lda,default_repeated_cv,none,0.5,,{},0.4530333378893933,0.7255244755244755,0.6976744186046512,0.6818181818181818,0.7692307692307693,0.7142857142857143,20,6,7,15,0.8146853146853146,0.7988731841934773
2,5,rf,default_repeated_cv,none,0.5,,{},0.40991702578932737,0.7027972027972028,0.6666666666666666,0.6363636363636364,0.7692307692307693,0.7,20,6,8,14,0.8199300699300699,0.829210447093222
2,5,lightgbm,default_repeated_cv,none,0.5,,{},0.3687480657239248,0.6835664335664335,0.6511627906976745,0.6363636363636364,0.7307692307692307,0.6666666666666666,19,7,8,14,0.7832167832167832,0.8046961496670384
2,5,xgboost,default_repeated_cv,none,0.5,,{},0.4125874125874126,0.7062937062937062,0.6818181818181818,0.6818181818181818,0.7307692307692307,0.6818181818181818,19,7,7,15,0.7674825174825175,0.7890957999660153
2,5,catboost,default_repeated_cv,none,0.5,,{},0.3687480657239248,0.6835664335664335,0.6511627906976745,0.6363636363636364,0.7307692307692307,0.6666666666666666,19,7,8,14,0.763986013986014,0.7687214314172564
3,1,lr_elasticnet,default_repeated_cv,none,0.5,,{},0.6405219728047404,0.8093645484949833,0.7804878048780488,0.6956521739130435,0.9230769230769231,0.8888888888888888,24,2,7,16,0.9096989966555183,0.9170229534553991
3,1,gnb,default_repeated_cv,none,0.5,,{},0.5996199366794819,0.7859531772575251,0.8,0.9565217391304348,0.6153846153846154,0.6875,16,10,1,22,0.9030100334448161,0.8849720401242552
3,1,lda,default_repeated_cv,none,0.5,,{},0.6031264860167888,0.7876254180602007,0.75,0.6521739130434783,0.9230769230769231,0.8823529411764706,24,2,8,15,0.8913043478260869,0.9041284822531348
3,1,rf,default_repeated_cv,none,0.5,,{},0.5104206594028771,0.7491638795986622,0.7142857142857143,0.6521739130434783,0.8461538461538461,0.7894736842105263,22,4,8,15,0.8913043478260869,0.8910311602440538
3,1,lightgbm,default_repeated_cv,none,0.5,,{},0.5501491185025111,0.7709030100334449,0.7441860465116279,0.6956521739130435,0.8461538461538461,0.8,22,4,7,16,0.8394648829431438,0.8573772267367614
3,1,xgboost,default_repeated_cv,none,0.5,,{},0.5509189647176967,0.7759197324414716,0.7659574468085106,0.782608695652174,0.7692307692307693,0.75,20,6,5,18,0.8645484949832776,0.8819571822263974
3,1,catboost,default_repeated_cv,none,0.5,,{},0.6405219728047404,0.8093645484949833,0.7804878048780488,0.6956521739130435,0.9230769230769231,0.8888888888888888,24,2,7,16,0.8846153846153847,0.8956924315619967
3,2,lr_elasticnet,default_repeated_cv,none,0.5,,{},0.7106690545187014,0.8535353535353536,0.8372093023255814,0.8181818181818182,0.8888888888888888,0.8571428571428571,24,3,4,18,0.8872053872053872,0.8611929817749455
3,2,gnb,default_repeated_cv,none,0.5,,{},0.48553038055886144,0.7323232323232323,0.7407407407407407,0.9090909090909091,0.5555555555555556,0.625,15,12,2,20,0.8838383838383839,0.8751228654685703
3,2,lda,default_repeated_cv,none,0.5,,{},0.67003367003367,0.835016835016835,0.8181818181818182,0.8181818181818182,0.8518518518518519,0.8181818181818182,23,4,4,18,0.8855218855218856,0.8666580864517339
3,2,rf,default_repeated_cv,none,0.5,,{},0.5875420875420876,0.7937710437710437,0.7727272727272727,0.7727272727272727,0.8148148148148148,0.7727272727272727,22,5,5,17,0.9031986531986531,0.9033251784335374
3,2,lightgbm,default_repeated_cv,none,0.5,,{},0.6381990126895997,0.8207070707070707,0.8085106382978723,0.8636363636363636,0.7777777777777778,0.76,21,6,3,19,0.8922558922558923,0.8830456414592491
3,2,xgboost,default_repeated_cv,none,0.5,,{},0.6023523847691574,0.8021885521885521,0.7916666666666666,0.8636363636363636,0.7407407407407407,0.7307692307692307,20,7,3,19,0.9074074074074076,0.9169731707293804
3,2,catboost,default_repeated_cv,none,0.5,,{},0.67003367003367,0.835016835016835,0.8181818181818182,0.8181818181818182,0.8518518518518519,0.8181818181818182,23,4,4,18,0.9006734006734007,0.8964013235302439
3,3,lr_elasticnet,default_repeated_cv,none,0.5,,{},0.7986077882875486,0.9003496503496504,0.8936170212765957,0.9545454545454546,0.8461538461538461,0.84,22,4,1,21,0.9597902097902098,0.9507295641737612
3,3,gnb,default_repeated_cv,none,0.5,,{},0.4418894343490791,0.6730769230769231,0.7213114754098361,1.0,0.34615384615384615,0.5641025641025641,9,17,0,22,0.9213286713286712,0.8914127577801165
3,3,lda,default_repeated_cv,none,0.5,,{},0.7269604724271661,0.8618881118881119,0.8571428571428571,0.9545454545454546,0.7692307692307693,0.7777777777777778,20,6,1,21,0.9545454545454546,0.9415954785148618
3,3,rf,default_repeated_cv,none,0.5,,{},0.7149109021788099,0.8583916083916083,0.851063829787234,0.9090909090909091,0.8076923076923077,0.8,21,5,2,20,0.937062937062937,0.9291621257530348
3,3,lightgbm,default_repeated_cv,none,0.5,,{},0.6078080037565888,0.8006993006993006,0.8,0.9090909090909091,0.6923076923076923,0.7142857142857143,18,8,2,20,0.8968531468531469,0.899012343303697
3,3,xgboost,default_repeated_cv,none,0.5,,{},0.6426752002616976,0.8199300699300699,0.8163265306122449,0.9090909090909091,0.7307692307692307,0.7407407407407407,19,7,2,20,0.8986013986013986,0.9039063207352942
3,3,catboost,default_repeated_cv,none,0.5,,{},0.6926184228854152,0.8426573426573427,0.84,0.9545454545454546,0.7307692307692307,0.75,19,7,1,21,0.9632867132867133,0.9648133664581033
3,4,lr_elasticnet,default_repeated_cv,none,0.5,,{},0.5026155365907202,0.7377622377622377,0.6842105263157895,0.5909090909090909,0.8846153846153846,0.8125,23,3,9,13,0.8933566433566434,0.878414320059069
3,4,gnb,default_repeated_cv,none,0.5,,{},0.47304991679126607,0.7237762237762237,0.7407407407407407,0.9090909090909091,0.5384615384615384,0.625,14,12,2,20,0.8566433566433567,0.8519453001122692
3,4,lda,default_repeated_cv,none,0.5,,{},0.5913123959890826,0.7797202797202798,0.7368421052631579,0.6363636363636364,0.9230769230769231,0.875,24,2,8,14,0.8986013986013986,0.8858602979820102
3,4,rf,default_repeated_cv,none,0.5,,{},0.5525183631701104,0.7569930069930071,0.7027027027027027,0.5909090909090909,0.9230769230769231,0.8666666666666667,24,2,9,13,0.8566433566433567,0.8369359739697882
3,4,lightgbm,default_repeated_cv,none,0.5,,{},0.5026155365907202,0.7377622377622377,0.6842105263157895,0.5909090909090909,0.8846153846153846,0.8125,23,3,9,13,0.8409090909090909,0.8415682303299858
3,4,xgboost,default_repeated_cv,none,0.5,,{},0.5829752480681661,0.7832167832167831,0.75,0.6818181818181818,0.8846153846153846,0.8333333333333334,23,3,7,15,0.8636363636363636,0.84242195857342
3,4,catboost,default_repeated_cv,none,0.5,,{},0.6427254428713529,0.798951048951049,0.7567567567567568,0.6363636363636364,0.9615384615384616,0.9333333333333333,25,1,8,14,0.8653846153846154,0.8442763292402115
3,5,lr_elasticnet,default_repeated_cv,none,0.5,,{},0.5804195804195804,0.7902097902097902,0.7727272727272727,0.7727272727272727,0.8076923076923077,0.7727272727272727,21,5,5,17,0.8916083916083917,0.8912928552886303
3,5,gnb,default_repeated_cv,none,0.5,,{},0.6689936080056726,0.8356643356643356,0.8260869565217391,0.8636363636363636,0.8076923076923077,0.7916666666666666,21,5,3,19,0.8548951048951049,0.8461017297247244
3,5,lda,default_repeated_cv,none,0.5,,{},0.57953786404698,0.7867132867132867,0.7619047619047619,0.7272727272727273,0.8461538461538461,0.8,22,4,6,16,0.8723776223776224,0.8873627509516959
3,5,rf,default_repeated_cv,none,0.5,,{},0.5379391211744428,0.763986013986014,0.7317073170731707,0.6818181818181818,0.8461538461538461,0.7894736842105263,22,4,7,15,0.8487762237762237,0.8484810143065489
3,5,lightgbm,default_repeated_cv,none,0.5,,{},0.6216038822203304,0.8094405594405594,0.7906976744186046,0.7727272727272727,0.8461538461538461,0.8095238095238095,22,4,5,17,0.8793706293706293,0.8607529239257992
3,5,xgboost,default_repeated_cv,none,0.5,,{},0.5405423894522708,0.770979020979021,0.7555555555555555,0.7727272727272727,0.7692307692307693,0.7391304347826086,20,6,5,17,0.8653846153846154,0.8545156997945134
3,5,catboost,default_repeated_cv,none,0.5,,{},0.4965034965034965,0.7482517482517483,0.7272727272727273,0.7272727272727273,0.7692307692307693,0.7272727272727273,20,6,6,16,0.8513986013986015,0.8522554452507446
4,1,lr_elasticnet,default_repeated_cv,none,0.5,,{},0.7130912633061056,0.8553511705685619,0.8444444444444444,0.8260869565217391,0.8846153846153846,0.8636363636363636,23,3,4,19,0.9147157190635452,0.9347598522167486
4,1,gnb,default_repeated_cv,none,0.5,,{},0.4805031188115172,0.725752508361204,0.75,0.9130434782608695,0.5384615384615384,0.6363636363636364,14,12,2,21,0.8946488294314381,0.9052387297353411
4,1,lda,default_repeated_cv,none,0.5,,{},0.755507463439817,0.8745819397993311,0.8636363636363636,0.8260869565217391,0.9230769230769231,0.9047619047619048,24,2,4,19,0.9147157190635451,0.9363240091626661
4,1,rf,default_repeated_cv,none,0.5,,{},0.7130912633061056,0.8553511705685619,0.8444444444444444,0.8260869565217391,0.8846153846153846,0.8636363636363636,23,3,4,19,0.9255852842809364,0.9364855395386085
4,1,lightgbm,default_repeated_cv,none,0.5,,{},0.6327220837212335,0.8168896321070234,0.8085106382978723,0.8260869565217391,0.8076923076923077,0.7916666666666666,21,5,4,19,0.8929765886287626,0.8991934684726157
4,1,xgboost,default_repeated_cv,none,0.5,,{},0.5943247013318183,0.7976588628762542,0.7916666666666666,0.8260869565217391,0.7692307692307693,0.76,20,6,4,19,0.9046822742474916,0.9146291061160426
4,1,catboost,default_repeated_cv,none,0.5,,{},0.6722408026755853,0.8361204013377926,0.8260869565217391,0.8260869565217391,0.8461538461538461,0.8260869565217391,22,4,4,19,0.903010033444816,0.9284290338066081
4,2,lr_elasticnet,default_repeated_cv,none,0.5,,{},0.7525252525252525,0.8762626262626263,0.8636363636363636,0.8636363636363636,0.8888888888888888,0.8636363636363636,24,3,3,19,0.9276094276094277,0.9156450518557064
4,2,gnb,default_repeated_cv,none,0.5,,{},0.4800743488996058,0.718013468013468,0.7368421052631579,0.9545454545454546,0.48148148148148145,0.6,13,14,1,21,0.8872053872053872,0.8770975349774951
4,2,lda,default_repeated_cv,none,0.5,,{},0.7106690545187014,0.8535353535353536,0.8372093023255814,0.8181818181818182,0.8888888888888888,0.8571428571428571,24,3,4,18,0.9057239057239058,0.8881090116515017
